V1	variable	value	id_sample_cell_group	aliquot	cell_group.columnname	x_plot	cell_group	id_sample
CA9	SCT.CPT0012280004_Macrophages	0.0112079701120797	CPT0012280004_Macrophages	CPT0012280004	Macrophages	0.0112079701120797	Macrophages	C3N-00317-T1
PCSK6	SCT.CPT0012280004_Macrophages	0.0161892901618929	CPT0012280004_Macrophages	CPT0012280004	Macrophages	0.0161892901618929	Macrophages	C3N-00317-T1
CP	SCT.CPT0012280004_CD8..T.cells	0.196969696969697	CPT0012280004_CD8..T.cells	CPT0012280004	CD8..T.cells	0.196969696969697	CD8+ T-cells	C3N-00317-T1
CA9	SCT.CPT0012280004_CD8..T.cells	0.0151515151515152	CPT0012280004_CD8..T.cells	CPT0012280004	CD8..T.cells	0.0151515151515152	CD8+ T-cells	C3N-00317-T1
PCSK6	SCT.CPT0012280004_CD8..T.cells	0	CPT0012280004_CD8..T.cells	CPT0012280004	CD8..T.cells	0	CD8+ T-cells	C3N-00317-T1
CP	SCT.CPT0012280004_Endothelial.cells	0.203703703703704	CPT0012280004_Endothelial.cells	CPT0012280004	Endothelial.cells	0.203703703703704	Endothelial cells	C3N-00317-T1
CA9	SCT.CPT0012280004_Endothelial.cells	0	CPT0012280004_Endothelial.cells	CPT0012280004	Endothelial.cells	0	Endothelial cells	C3N-00317-T1
PCSK6	SCT.CPT0012280004_Endothelial.cells	0.0925925925925926	CPT0012280004_Endothelial.cells	CPT0012280004	Endothelial.cells	0.0925925925925926	Endothelial cells	C3N-00317-T1
CP	SCT.CPT0012280004_CD4..T.cells	0.204819277108434	CPT0012280004_CD4..T.cells	CPT0012280004	CD4..T.cells	0.204819277108434	CD4+ T-cells	C3N-00317-T1
CA9	SCT.CPT0012280004_CD4..T.cells	0.036144578313253	CPT0012280004_CD4..T.cells	CPT0012280004	CD4..T.cells	0.036144578313253	CD4+ T-cells	C3N-00317-T1
PCSK6	SCT.CPT0012280004_CD4..T.cells	0.0240963855421687	CPT0012280004_CD4..T.cells	CPT0012280004	CD4..T.cells	0.0240963855421687	CD4+ T-cells	C3N-00317-T1
CP	SCT.CPT0012280004_B.cells	0.4	CPT0012280004_B.cells	CPT0012280004	B.cells	0.4	B-cells	C3N-00317-T1
CA9	SCT.CPT0012280004_B.cells	0	CPT0012280004_B.cells	CPT0012280004	B.cells	0	B-cells	C3N-00317-T1
PCSK6	SCT.CPT0012280004_B.cells	0	CPT0012280004_B.cells	CPT0012280004	B.cells	0	B-cells	C3N-00317-T1
CP	SCT.CPT0012280004_Myofibroblasts	0.631578947368421	CPT0012280004_Myofibroblasts	CPT0012280004	Myofibroblasts	0.631578947368421	Myofibroblasts	C3N-00317-T1
CA9	SCT.CPT0012280004_Myofibroblasts	0.105263157894737	CPT0012280004_Myofibroblasts	CPT0012280004	Myofibroblasts	0.105263157894737	Myofibroblasts	C3N-00317-T1
PCSK6	SCT.CPT0012280004_Myofibroblasts	0.157894736842105	CPT0012280004_Myofibroblasts	CPT0012280004	Myofibroblasts	0.157894736842105	Myofibroblasts	C3N-00317-T1
CP	SCT.CPT0000870003_Tumor.cells	1.48112028007002	CPT0000870003_Tumor.cells	CPT0000870003	Tumor.cells	1.48112028007002	Tumor cells	C3L-00088-T1
CA9	SCT.CPT0000870003_Tumor.cells	0.220305076269065	CPT0000870003_Tumor.cells	CPT0000870003	Tumor.cells	0.220305076269065	Tumor cells	C3L-00088-T1
PCSK6	SCT.CPT0000870003_Tumor.cells	1.54088522130533	CPT0000870003_Tumor.cells	CPT0000870003	Tumor.cells	1.54088522130533	Tumor cells	C3L-00088-T1
CP	SCT.CPT0000870003_Macrophages	0.021978021978022	CPT0000870003_Macrophages	CPT0000870003	Macrophages	0.021978021978022	Macrophages	C3L-00088-T1
CA9	SCT.CPT0000870003_Macrophages	0.021978021978022	CPT0000870003_Macrophages	CPT0000870003	Macrophages	0.021978021978022	Macrophages	C3L-00088-T1
PCSK6	SCT.CPT0000870003_Macrophages	0.0659340659340659	CPT0000870003_Macrophages	CPT0000870003	Macrophages	0.0659340659340659	Macrophages	C3L-00088-T1
CP	SCT.CPT0000870003_Myofibroblasts	0.223880597014925	CPT0000870003_Myofibroblasts	CPT0000870003	Myofibroblasts	0.223880597014925	Myofibroblasts	C3L-00088-T1
CA9	SCT.CPT0000870003_Myofibroblasts	0.0398009950248756	CPT0000870003_Myofibroblasts	CPT0000870003	Myofibroblasts	0.0398009950248756	Myofibroblasts	C3L-00088-T1
PCSK6	SCT.CPT0000870003_Myofibroblasts	0.238805970149254	CPT0000870003_Myofibroblasts	CPT0000870003	Myofibroblasts	0.238805970149254	Myofibroblasts	C3L-00088-T1
CP	SCT.CPT0000870003_Endothelial.cells	0.326530612244898	CPT0000870003_Endothelial.cells	CPT0000870003	Endothelial.cells	0.326530612244898	Endothelial cells	C3L-00088-T1
CA9	SCT.CPT0000870003_Endothelial.cells	0.0408163265306122	CPT0000870003_Endothelial.cells	CPT0000870003	Endothelial.cells	0.0408163265306122	Endothelial cells	C3L-00088-T1
PCSK6	SCT.CPT0000870003_Endothelial.cells	0.372448979591837	CPT0000870003_Endothelial.cells	CPT0000870003	Endothelial.cells	0.372448979591837	Endothelial cells	C3L-00088-T1
CP	SCT.CPT0000870003_NK.cells	0	CPT0000870003_NK.cells	CPT0000870003	NK.cells	0	NK cells	C3L-00088-T1
CA9	SCT.CPT0000870003_NK.cells	0	CPT0000870003_NK.cells	CPT0000870003	NK.cells	0	NK cells	C3L-00088-T1
PCSK6	SCT.CPT0000870003_NK.cells	0	CPT0000870003_NK.cells	CPT0000870003	NK.cells	0	NK cells	C3L-00088-T1
CP	SCT.CPT0000880001_Tumor.cells	1.11089813800656	CPT0000880001_Tumor.cells	CPT0000880001	Tumor.cells	1.11089813800656	Tumor cells	C3L-00088-T2
CA9	SCT.CPT0000880001_Tumor.cells	0.330230010952907	CPT0000880001_Tumor.cells	CPT0000880001	Tumor.cells	0.330230010952907	Tumor cells	C3L-00088-T2
PCSK6	SCT.CPT0000880001_Tumor.cells	1.80202628696604	CPT0000880001_Tumor.cells	CPT0000880001	Tumor.cells	1.80202628696604	Tumor cells	C3L-00088-T2
CP	SCT.CPT0000880001_Myofibroblasts	0.152173913043478	CPT0000880001_Myofibroblasts	CPT0000880001	Myofibroblasts	0.152173913043478	Myofibroblasts	C3L-00088-T2
CA9	SCT.CPT0000880001_Myofibroblasts	0.108695652173913	CPT0000880001_Myofibroblasts	CPT0000880001	Myofibroblasts	0.108695652173913	Myofibroblasts	C3L-00088-T2
PCSK6	SCT.CPT0000880001_Myofibroblasts	0.206521739130435	CPT0000880001_Myofibroblasts	CPT0000880001	Myofibroblasts	0.206521739130435	Myofibroblasts	C3L-00088-T2
CP	SCT.CPT0000880001_Endothelial.cells	0.173441734417344	CPT0000880001_Endothelial.cells	CPT0000880001	Endothelial.cells	0.173441734417344	Endothelial cells	C3L-00088-T2
CA9	SCT.CPT0000880001_Endothelial.cells	0.040650406504065	CPT0000880001_Endothelial.cells	CPT0000880001	Endothelial.cells	0.040650406504065	Endothelial cells	C3L-00088-T2
PCSK6	SCT.CPT0000880001_Endothelial.cells	0.254742547425474	CPT0000880001_Endothelial.cells	CPT0000880001	Endothelial.cells	0.254742547425474	Endothelial cells	C3L-00088-T2
CP	SCT.CPT0000880001_Macrophages	0.0878048780487805	CPT0000880001_Macrophages	CPT0000880001	Macrophages	0.0878048780487805	Macrophages	C3L-00088-T2
CA9	SCT.CPT0000880001_Macrophages	0.0439024390243902	CPT0000880001_Macrophages	CPT0000880001	Macrophages	0.0439024390243902	Macrophages	C3L-00088-T2
PCSK6	SCT.CPT0000880001_Macrophages	0.0975609756097561	CPT0000880001_Macrophages	CPT0000880001	Macrophages	0.0975609756097561	Macrophages	C3L-00088-T2
CP	SCT.CPT0000890002_Proximal.tubule	0.0029940119760479	CPT0000890002_Proximal.tubule	CPT0000890002	Proximal.tubule	0.0029940119760479	Proximal tubule	C3L-00088-N
CA9	SCT.CPT0000890002_Proximal.tubule	0	CPT0000890002_Proximal.tubule	CPT0000890002	Proximal.tubule	0	Proximal tubule	C3L-00088-N
